"camera","imgtype","zoom","exposure","gain","frame","lifter","timestamp","id","plantbarcode","treatment","cartag","measurementlabel","other","image","sample","Barcode","in_bounds","area","convex_hull_area","solidity","perimeter","width","height","longest_path","convex_hull_vertices","object_in_frame","ellipse_major_axis","ellipse_minor_axis","ellipse_angle","ellipse_eccentricity","Height"
5,"none","none","none","none","none","none","2023_09_15_11:56:20","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:20.jpg",0,"000V8","True",3326,16203.5,0.205264294751134,1167.57716166973,84,432,3020,23,"True",396.546325683594,81.1672668457031,6.29796028137207,0.978827800335914,0
5,"none","none","none","none","none","none","2023_09_15_11:56:20","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:20.jpg",1,"000XI",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"none","none","none","none","none","none","2023_09_15_11:56:20","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:20.jpg",2,"000YC",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"none","none","none","none","none","none","2023_09_15_11:56:21","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:21.jpg",0,NA,"True",2099,2082,1.00816522574448,178.509666442871,55,52,423,24,"True",57.1121597290039,45.5536155700684,129.361419677734,0.603164580010878,NA
6,"none","none","none","none","none","none","2023_09_15_11:56:21","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:21.jpg",1,NA,"True",3072,3672,0.836601307189543,306.634556889534,79,77,521,26,"True",80.676872253418,55.3408126831055,46.0814170837402,0.72764269269256,NA
6,"none","none","none","none","none","none","2023_09_15_11:56:21","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:21.jpg",2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:22","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:22.jpg",0,NA,"True",1352,1657.5,0.815686274509804,248.793937206268,57,38,377,14,"True",55.8149757385254,32.6428184509277,99.9976043701172,0.811148830386948,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:22","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:22.jpg",1,NA,"True",3530,3684.5,0.958067580404397,265.421353816986,81,61,570,24,"True",81.8918838500977,55.0471076965332,76.0143508911133,0.740376446798191,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:22","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:22.jpg",2,NA,"True",3521,3895,0.90397946084724,299.563489198685,75,70,546,22,"True",77.7970504760742,58.5062637329102,117.970718383789,0.659120844109605,NA
8,"none","none","none","none","none","none","2023_09_15_11:56:24","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:24.jpg",0,"000XJ","True",1632,1714,0.952158693115519,183.095452904701,54,43,418,21,"True",59.5541648864746,36.0044631958008,113.53231048584,0.796554543390574,0
8,"none","none","none","none","none","none","2023_09_15_11:56:24","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:24.jpg",1,"000YO","True",1233,1583,0.778900821225521,214.308655977249,51,46,412,14,"True",54.2836532592773,36.7487335205078,63.9387016296387,0.736005039935363,0
8,"none","none","none","none","none","none","2023_09_15_11:56:24","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:24.jpg",2,"000YU","True",1472,1521,0.967784352399737,171.095452904701,61,35,411,19,"True",59.8169937133789,32.6072807312012,79.2864074707031,0.838359756557043,0
5,"none","none","none","none","none","none","2023_09_15_11:56:30","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:30.jpg",0,"000ZH",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"none","none","none","none","none","none","2023_09_15_11:56:30","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:30.jpg",1,"000UN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
